well,fit_error_occured,term,estimate,std.error,statistic,p.value,conf.low,conf.high,est_error_occured,mu_type
A_1_Mu_0.4_Lag_6,FALSE,C,-0.0037607158017174025,0.0028462006167168934,-1.3213108660117596,0.1896393041509117,-0.009415116214535337,0.001883553050602976,FALSE,other
A_1_Mu_0.4_Lag_8,FALSE,A,1.0000712114716246,0.002591148019964062,385.956805156,7.769938943558275e-151,0.9949306962519427,1.0052167960771214,FALSE,other
A_1_Mu_0.4_Lag_8,FALSE,Mu,0.3992456301607447,0.006852294898134981,58.264513728007984,5.349985588682243e-75,0.38619474130258075,0.4129745697041092,FALSE,Mu_a
A_1_Mu_0.4_Lag_8,FALSE,Lag,7.9768600820244115,0.024817347506850884,321.42274994627775,1.8831455044082097e-143,7.927657306785861,8.025388827495487,FALSE,other
A_1_Mu_0.4_Lag_8,FALSE,C,-7.083153950323894e-4,0.002330977438061957,-0.303870549524196,0.7619053394926012,-0.005339805271621998,0.003918390829856713,FALSE,other
A_1_Mu_0.4_Lag_10,FALSE,A,0.9987382779606566,0.002312828944354286,431.82539737693065,2.2770059810275146e-155,0.9941489231863974,1.0033310345400774,FALSE,other
A_1_Mu_0.4_Lag_10,FALSE,Mu,0.3999465446042283,0.0066938034270026476,59.74877346873576,5.476467312825958e-76,0.3869909491401278,0.4135561108683036,FALSE,Mu_a
A_1_Mu_0.4_Lag_10,FALSE,Lag,10.005701143650954,0.023886092459543838,418.8923391550012,3.844816537381212e-154,9.958122693776646,10.052558395011044,FALSE,other
A_1_Mu_0.4_Lag_10,FALSE,C,0.0020452864272458506,0.002020943128374787,1.012045514061863,0.31414213074578573,-0.0019677065979930783,0.006055325272847057,FALSE,other
A_1_Mu_0.5_Lag_2,FALSE,A,1.004261125074999,0.0048473020563823185,207.17939864150082,9.716500672937565e-126,0.9947009700988805,1.013884707907713,FALSE,other
A_1_Mu_0.5_Lag_2,FALSE,Mu,0.4921845213713378,0.009406056363028445,52.326341920076516,8.761001058128094e-71,0.47426320775390074,0.5111383090554033,FALSE,Mu_a
A_1_Mu_0.5_Lag_2,FALSE,Lag,1.9871970771043368,0.02479789911944772,80.13570292920016,1.2819111884005556e-87,1.9383087318304455,2.035106458747216,FALSE,other
A_1_Mu_0.5_Lag_2,FALSE,C,-0.004303644103646608,0.004715632769791085,-0.9126334287979917,0.3637951602597992,-0.013668305629896387,0.004998000449125744,FALSE,other
