well,term,estimate
A_2_Mu_0.3_Lag_2,Mu,0.29407928357758223
A_2_Mu_0.3_Lag_2,A,2.009829108099384
A_2_Mu_0.3_Lag_4,Lag,4.010720557405364
A_2_Mu_0.3_Lag_4,Mu,0.2972540959911408
A_2_Mu_0.3_Lag_4,A,2.009908633260283
A_2_Mu_0.3_Lag_6,Lag,5.862265400042279
A_2_Mu_0.3_Lag_6,Mu,0.2837279302099739
A_2_Mu_0.3_Lag_6,A,2.0054507309437546
A_2_Mu_0.3_Lag_8,Lag,7.981289361640092
A_2_Mu_0.3_Lag_8,Mu,0.2979548718800185
A_2_Mu_0.3_Lag_8,A,2.0085570386825036
A_2_Mu_0.3_Lag_10,Lag,9.872495987434766
A_2_Mu_0.3_Lag_10,Mu,0.2887379776715166
A_2_Mu_0.3_Lag_10,A,2.013185542105558
A_2_Mu_0.4_Lag_0,Lag,-0.0701023168614372
A_2_Mu_0.4_Lag_0,Mu,0.38458409515545905
A_2_Mu_0.4_Lag_0,A,2.0093268001756237
A_2_Mu_0.4_Lag_2,Lag,2.037624282360347
A_2_Mu_0.4_Lag_2,Mu,0.4080239631036456
A_2_Mu_0.4_Lag_2,A,2.014080522273798
A_2_Mu_0.4_Lag_4,Lag,3.915055460790558
A_2_Mu_0.4_Lag_4,Mu,0.38084656259700833
A_2_Mu_0.4_Lag_4,A,2.0052992539636536
A_2_Mu_0.4_Lag_6,Lag,5.960092011571446
A_2_Mu_0.4_Lag_6,Mu,0.39006642101634814
A_2_Mu_0.4_Lag_6,A,2.011870981907687
A_2_Mu_0.4_Lag_8,Lag,7.889330278459536
A_2_Mu_0.4_Lag_8,Mu,0.37605776870138047
A_2_Mu_0.4_Lag_8,A,2.0207532881373487
A_2_Mu_0.4_Lag_10,Lag,9.969862120078725
A_2_Mu_0.4_Lag_10,Mu,0.3947190536096045
A_2_Mu_0.4_Lag_10,A,2.0131909398165386
A_2_Mu_0.5_Lag_0,Lag,-0.0450771169605313
A_2_Mu_0.5_Lag_0,Mu,0.48289124155854973
A_2_Mu_0.5_Lag_0,A,2.01599992575464
A_2_Mu_0.5_Lag_2,Lag,1.9845636724152056
A_2_Mu_0.5_Lag_2,Mu,0.5000333306498789
A_2_Mu_0.5_Lag_2,A,2.0130759624899768
A_2_Mu_0.5_Lag_4,Lag,4.019979730087592
A_2_Mu_0.5_Lag_4,Mu,0.5103397582217275
A_2_Mu_0.5_Lag_4,A,2.009479281316603
A_2_Mu_0.5_Lag_6,Lag,5.97093900752327
A_2_Mu_0.5_Lag_6,Mu,0.49721454744522137
A_2_Mu_0.5_Lag_6,A,2.015119417374083
A_2_Mu_0.5_Lag_8,Lag,7.948731152201861
A_2_Mu_0.5_Lag_8,Mu,0.48544697748284876
A_2_Mu_0.5_Lag_8,A,2.0087672016360627
A_2_Mu_0.5_Lag_10,Lag,10.01395383541733
A_2_Mu_0.5_Lag_10,Mu,0.5041761582637005
A_2_Mu_0.5_Lag_10,A,2.008429407997493
A_2_Mu_0.6_Lag_0,Lag,-0.057663410898955374
A_2_Mu_0.6_Lag_0,Mu,0.5676187533026007
A_2_Mu_0.6_Lag_0,A,2.015607328375337
A_2_Mu_0.6_Lag_2,Lag,1.971220422318153
A_2_Mu_0.6_Lag_2,Mu,0.5884330881616927
A_2_Mu_0.6_Lag_2,A,2.0225519836643993
A_2_Mu_0.6_Lag_4,Lag,3.9605614771495463
A_2_Mu_0.6_Lag_4,Mu,0.5776486710259946
A_2_Mu_0.6_Lag_4,A,2.010131519248237
A_2_Mu_0.6_Lag_6,Lag,5.9545445442175895
A_2_Mu_0.6_Lag_6,Mu,0.5793061204832206
A_2_Mu_0.6_Lag_6,A,2.0180090747366854
A_2_Mu_0.6_Lag_8,Lag,7.960181561972659
A_2_Mu_0.6_Lag_8,Mu,0.5719394072474323
A_2_Mu_0.6_Lag_8,A,2.0175924973173953
A_2_Mu_0.6_Lag_10,Lag,9.983936192486473
A_2_Mu_0.6_Lag_10,Mu,0.5867260900258339
A_2_Mu_0.6_Lag_10,A,2.011008799540995
A_2_Mu_0.7_Lag_0,Lag,-0.029942067795575115
A_2_Mu_0.7_Lag_0,Mu,0.6864561338209326
A_2_Mu_0.7_Lag_0,A,2.015678967958599
A_2_Mu_0.7_Lag_2,Lag,1.962751761890984
A_2_Mu_0.7_Lag_2,Mu,0.6642678896416812
A_2_Mu_0.7_Lag_2,A,2.0143434013247203
A_2_Mu_0.7_Lag_4,Lag,3.9728572356562273
A_2_Mu_0.7_Lag_4,Mu,0.6891569941156148
A_2_Mu_0.7_Lag_4,A,2.0160959586795655
A_2_Mu_0.7_Lag_6,Lag,5.994497466120594
A_2_Mu_0.7_Lag_6,Mu,0.6896292798447264
A_2_Mu_0.7_Lag_6,A,2.0170429369367615
A_2_Mu_0.7_Lag_8,Lag,7.97098674685916
A_2_Mu_0.7_Lag_8,Mu,0.6794404726539329
A_2_Mu_0.7_Lag_8,A,2.017534115393478
A_2_Mu_0.7_Lag_10,Lag,9.963818030750277
A_2_Mu_0.7_Lag_10,Mu,0.6723787020988748
A_2_Mu_0.7_Lag_10,A,2.0128997704465625
A_2_Mu_0.8_Lag_0,Lag,-0.061430131578892704
A_2_Mu_0.8_Lag_0,Mu,0.7532450884891366
A_2_Mu_0.8_Lag_0,A,2.012267105145628
A_2_Mu_0.8_Lag_2,Lag,1.9935873990574617
